Variable;Unit/Description;Country;Unit;Year;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Greece;(Percentage of trend GDP at current prices);;43,8;50,6;53,6;54,2;52,3;45,8;45,3;44,5;44,9;48,3;43,8;54,3;47,0;45,5;49,4;53,5;52,2;48,5;44,7;42,3;45,0;42,5;39,6;38,8;38,4;37,3;36,5;34,2;33,0;33,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Spain;(Percentage of trend GDP at current prices);;44,7;45,6;46,6;46,6;45,4;43,3;41,9;40,5;40,1;40,1;39,0;39,5;44,1;43,3;44,4;45,0;43,1;41,1;39,0;37,7;37,2;36,2;36,2;36,0;36,3;35,9;35,8;35,3;36,0;37,7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;France;(Percentage of trend GDP at current prices);;54,3;55,7;56,6;57,2;56,4;55,7;55,2;55,4;54,7;54,5;54,6;54,4;54,2;53,6;53,6;53,2;51,5;51,5;51,2;50,9;50,5;50,1;50,2;49,7;49,8;49,7;49,0;49,7;50,0;50,5;50,5;51,1;50,4;49,6;49,3;48,5;48,5;47,6;48,0;48,4;48,3;47,9;48,4;47,0;45,7;45,5;44,8;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Croatia (1);(Percentage of trend GDP at current prices);;47,9;47,7;48,1;47,5;47,8;45,0;43,7;42,1;42,5;42,2;42,6;43,6;43,5;45,2;45,9;48,3;48,3;48,4;45,8;45,1;47,6;47,2;47,5;45,9;50,7;53,4;53,6;53,7;55,8;55,4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Italy;(Percentage of trend GDP at current prices);;48,3;49,6;50,7;50,9;49,6;46,4;45,9;45,8;45,1;45,5;45,1;44,7;44,7;45,1;45,6;45,5;44,4;43,9;44,5;43,1;42,5;42,1;41,6;42,1;41,0;40,3;39,8;39,8;39,8;40,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Cyprus;(Percentage of trend GDP at current prices);;39,8;40,0;40,4;41,7;41,4;38,1;41,2;33,6;32,9;33,7;41,6;36,4;38,7;41,8;41,8;41,3;38,9;37,1;36,9;36,5;35,3;36,5;33,8;32,1;31,5;30,9;30,8;30,8;30,6;30,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Latvia;(Percentage of trend GDP at current prices);;37,3;39,4;43,1;43,8;41,0;38,7;39,7;38,0;36,2;36,9;36,3;35,7;35,6;36,9;40,1;42,0;43,9;43,4;42,5;37,6;35,6;33,5;33,9;33,1;35,3;39,1;36,8;32,5;29,7;29,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Lithuania;(Percentage of trend GDP at current prices);;37,2;39,5;38,2;38,0;41,7;34,7;33,3;31,8;32,1;32,9;32,7;33,1;33,1;39,2;37,8;41,4;43,3;40,9;37,1;35,9;34,8;33,7;33,4;34,7;36,3;38,3;40,8;48,3;31,9;28,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Luxembourg;(Percentage of trend GDP at current prices);;43,1;44,1;43,3;43,1;45,5;43,1;42,1;41,5;40,6;39,6;39,8;40,1;40,2;40,1;41,2;41,3;39,2;40,2;39,9;42,7;43,4;42,8;41,8;38,6;39,1;40,1;40,3;39,1;38,9;39,9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Hungary;(Percentage of trend GDP at current prices);;44,8;46,3;48,1;46,6;47,2;45,9;44,9;44,0;42,9;46,3;44,7;43,2;42,1;43,8;43,2;44,6;47,2;48,6;51,0;47,8;46,1;45,8;47,3;42,2;41,4;41,1;42,6;39,6;40,2;45,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Malta;(Percentage of trend GDP at current prices);;38,6;41,3;42,5;43,6;42,4;37,9;37,0;34,9;34,3;37,0;36,7;36,2;37,1;36,9;36,6;36,7;39,5;37,8;38,1;38,4;37,7;41,9;37,5;37,9;38,0;38,4;38,8;39,8;39,8;37,6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Netherlands;(Percentage of trend GDP at current prices);;44,9;46,9;45,5;45,7;45,1;42,3;42,2;41,8;42,0;42,6;43,3;43,8;44,5;45,5;46,2;45,4;43,7;42,4;41,8;39,8;40,6;41,6;41,5;41,9;41,0;40,9;40,6;40,8;41,5;47,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Austria;(Percentage of trend GDP at current prices);;49,9;50,9;52,0;53,7;52,5;48,7;48,4;47,9;47,8;48,1;49,3;48,6;48,6;48,4;49,2;49,9;48,8;48,0;48,0;47,7;50,3;47,3;47,5;48,0;48,4;49,0;48,5;47,9;51,3;51,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Poland;(Percentage of trend GDP at current prices);;42,3;43,7;43,5;43,8;45,9;41,9;40,9;39,6;38,7;39,3;39,9;39,7;40,7;42,8;44,0;43,3;43,2;41,8;41,8;40,7;39,9;41,5;41,4;41,8;41,5;41,7;42,3;43,7;46,9;41,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Portugal;(Percentage of trend GDP at current prices);;43,3;43,7;45,1;44,1;43,0;41,8;41,4;42,2;39,9;42,2;44,7;42,7;42,1;46,0;50,1;47,3;44,0;43,2;42,9;44,1;43,6;42,3;41,8;42,6;41,2;40,4;39,7;37,8;36,8;35,4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Romania;(Percentage of trend GDP at current prices);;35,0;36,6;38,7;38,4;39,4;36,6;34,9;32,8;32,2;33,2;32,4;32,1;33,2;35,6;36,5;39,5;42,2;39,8;36,6;32,8;32,8;31,1;31,5;31,3;32,4;32,1;30,4;30,4;33,9;34,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Slovenia;(Percentage of trend GDP at current prices);;45,1;48,3;47,6;48,4;47,3;42,7;42,3;41,4;41,8;43,5;45,4;54,9;45,6;49,0;48,7;48,1;48,9;46,3;45,9;45,1;44,9;44,7;44,9;46,4;45,4;45,1;43,7;42,8;42,1;50,0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Slovakia;(Percentage of trend GDP at current prices);;43,1;45,5;43,8;45,0;42,8;40,6;39,4;38,3;40,7;43,8;40,3;39,5;39,1;40,3;41,6;42,5;39,3;38,1;38,0;37,2;34,3;36,2;40,0;39,5;47,3;44,5;45,1;48,2;52,1;46,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Finland;(Percentage of trend GDP at current prices);;52,9;53,4;53,5;54,8;55,2;53,3;53,2;53,3;53,8;53,3;54,1;54,1;53,4;52,9;51,9;50,6;50,3;49,3;48,4;48,0;47,9;47,2;46,8;46,2;47,3;48,8;49,2;51,2;52,9;54,3;54,7;55,0;55,9;54,4;51,0;48,2;47,9;47,2;45,6;44,8;42,5;42,5;41,1;39,6;40,0;39,0;37,9;38,6;39,0;39,8;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Sweden;(Percentage of trend GDP at current prices);;47,1;47,7;49,8;49,7;50,4;49,5;50,1;49,5;49,5;49,1;48,9;49,3;48,9;48,9;48,9;48,6;49,5;50,1;51,2;51,1;51,1;51,3;50,7;50,3;51,1;52,6;51,7;52,6;54,4;57,0;60,4;62,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;United Kingdom;(Percentage of trend GDP at current prices);;40,2;41,0;44,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;Euro area (12 countries);(Percentage of trend GDP at current prices);;47,4;48,7;49,7;50,6;49,5;47,0;46,5;46,3;45,8;45,8;45,9;46,1;46,5;46,7;47,8;47,0;45,8;44,9;44,7;44,2;44,0;44,1;44,1;44,1;44,0;43,8;43,4;43,5;44,1;47,1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Total expenditure, excluding interest, adjusted for the cyclical component, % GDP (UUTGB);Percentage of trend GDP at current prices:;European Union (15 countries);(Percentage of trend GDP at current prices);;46,1;47,3;48,7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
